Lok_Sabha_Names
"A. Raja, Shri "
"Pratap Chandra Sarangi, Shri "
"Premachandran, Shri N.K."
"Pujari, Shri Suresh Kumar"
"Raghavendra, Shri B. Y."
"Rai, Shri Nityanand"
"Rajkumar, Dr. Ranjan Singh"
"Rajput, Shri Mukesh"
"Ram Mohan Naidu, Shri Kinjarapu"
"Ramesh, Shri T.R.V.S."
"Rangaiah, Dr. Talari"
"Rao, Shri Soyam Bapu"
"Rathod, Shri Dipsinh Shankarsinh"
"Rathore, Col. Rajyavardhan Singh"
"Raut, Shri Vinayak Bhaurao"
"Ravindhranath, Shri P."
"Rawat, Shri Tirath Singh"
"Ray, Smt. Sandhya"
"Reddy, Shri Adala Prabhakara"
"Reddy, Dr.  Gaddam Ranjith"
"Reddy, Shri Kotha Prabhakar "
"Reddy, Shri Pocha Brahmananda"
"Reddy, Shri Y. S. Avinash"
"Revanna, Shri Prajwal"
"Roy, Smt.  Mala"
"Roy (Banerjee), Smt. Satabdi"
"Ruhi, MS. Nusrat Jahan"
"Sagar, Shri  Arun Kumar"
"Sahu, Shri Chandra Sekhar"
"Sai, Smt. Gomati"
"Samanta, Shri Achyutananda"
"Sao, Shri Arun"
"Sarania, Shri Naba (Hira) Kumar"
"Sardinha, Shri Francisco Cosme"
"Sarkar, Dr.  Subhas"
"Saumitra, Shri Khan"
"Selvam, Shri Ganesan"
"Sen, Dr.  Jadon Chandra"
"Sethi, Smt. Sarmistha Kumari"
"Shah, Smt. Mala Rajya Laxmi"
"Sharma, Dr. Arvind Kumar"
"Sharma, Shri Kuldeep Rai"
"Sharma, Shri Vishnu Datt"
"Shekhawat, Shri Gajendra Singh"
"Shewale, Shri Rahul Ramesh "
"Shiyal, Dr. Bharatiben Dhirubhai"
"Shukla, Shri  Ravi Kishan"
"Sigriwal, Shri Janardan Singh"
"Singari, Dr. Sanjeev Kumar"
"Singh, Shri  Arjun"
"Singh, Shri Bhola"
"Singh, Shri Brijendra"
"Singh, Shri Devendra (Alias) Bhole Singh"
"Singh, Shri Ganesh"
"Singh, Smt. Himadri"
"Singh, Smt. Kavita"
"Singh, Shri Lallu"
"Singh, Shri Nayab"
"Singh, Shri Pashupati Nath"
"Singh, Smt. Pratibha"
"Singh, Shri Raj Kumar"
"Singh, Shri Rajbahadur"
"Singh, Shri Rajveer (Raju Bhaiya)"
"Singh, Shri Ravneet"
"Singh, Dr. Satya Pal"
"Singh, Shri Sushil Kumar"
"Singh, Shri Virendra"
"Sinha, Shri Jayant"
"Solanki, Dr. (Prof.) Kirit Premjibhai"
"Soni, Shri Sunil Kumar"
"Sridhar, Shri Kotagiri"
"Subbarayan, Shri K."
"Sule, Smt. Supriya Sadanand"
"Sundaram, Shri K. Shanmuga "
"Suresh, Shri Doddalahalli Kempegowda"
"Surya, Shri L.S. Tejasvi"
"Syed Imtiaz Jaleel, Shri "
"Tadas, Shri Ramdas Chandrabhanji"
"Tamta, Shri Ajay"
"Teli, Shri Rameswar"
"Thakur, Shri Anurag Singh"
"Thakur, Shri  Shantanu"
"Thirumaavalavan, Dr. Tholkappiyan"
"Tiwari, Shri Manoj Kumar"
"Tripathi, Dr. Ramapati Ram"
"Tudu, Shri Bishweswar"
"Udasi, Shri Shivkumar Chanabasappa"
"Ulaka, Shri Saptagiri Sankar"
"V.K. Sreekandan, Shri "
"Vanga, Smt. Geetha Viswanath"
"Vasava, Shri Prabhubhai Nagarbhai"
"Velusamy, Shri  P."
"Verma, Shri Bhanu Pratap Singh"
"Verma, Smt. Rekha Arun"
"Vichare, Shri Rajan Baburao "
"Vikhepatil, Dr. Sujay Radhakrishna"
"Y, Shri Devendrappa"
"Yadav, Shri Dinesh Chandra"
"Yadav, Shri Giridhari"
"Yadav, Shri Mulayam Singh"
"Yadav, Shri  Shyam Singh"
"Abdullah, Dr. Farooq"
"Adhikari, Shri Dibyendu"
Adv. A. M. Ariff
"Ahluwalia,  Shri S.S."
"Ajgalley, Shri Guharam"
"Ambareesh, Smt. Sumalatha"
"Annadurai, Shri C.N."
"Ansari, Shri Afzal"
"Aujla, Shri Gurjeet Singh"
"B.N. , Shri Bache Gowda"
"Badal, Smt. Harsimrat Kaur"
"Baghel, Prof. S.P. Singh"
"Baheria, Shri Subhash Chandra"
"Balyan, Dr. Sanjeev Kumar"
"Bandyopadhyay, Shri Sudip"
"Banerjee, Shri Kalyan"
"Bapat, Shri Girish Bhalchandra"
"Barne, Shri Shrirang Appa"
"Baruah, Shri Pradan"
"Basheer, Shri E. T. Mohammed"
"Bellana, Shri  Chandra Sekhar"
"Benny, Shri Behanan"
"Bhagat, Shri Sudarshan"
"Bhamre, Dr. Subhash Ramrao"
"Bhatia, Shri Sanjay"
"Bhatt, Smt. Ranjanben Dhananjay"
"Bholanath (B.P. Saroj), Shri  "
"Bidhuri, Shri Ramesh"
"Birla, Shri Om"
"Bisoyi, Smt. Pramila"
"Bohra, Shri Ramcharan"
"Borlakunta, Shri  Venkatesh Netha"
"Chakraborty, Ms. Mimi"
"Chandra, Shri  Girish"
"Chaudhary, Shri P.P."
"Chaudhary, Shri  Pradeep Kumar"
"Chaudhuri, Km. Debasree"
"Chauhan, Shri Nihal Chand"
"Chazhikadan, Shri Thomas"
"Chidambaram, Shri Karti P."
"Chinraj, Shri A.K.P."
"Choubey, Shri Ashwini Kumar"
"Choudhary, Shri Kailash"
"Chowdhury, Shri Adhir Ranjan"
"Dabhi, Shri Bharatsinhji Shankarji"
"Danve, Shri Raosaheb Dadarao"
"Das, Shri Pallab Lochan"
"Deb, Shri Nitesh Ganga"
"Devi, Smt. Rama"
"Dhaduk, Shri Rameshbhai Lavjibhai"
"Dharambir Singh, Shri "
"Dhotre, Shri Sanjay Shamrao"
"Dilip, Shri Saikia"
"Dubey, Dr. Nishikant "
"Duggal, Smt. Sunita"
"Firojiya, Shri Anil"
"Gadkari, Shri Nitin Jairam"
"Gambhir, Shri  Gautam"
"Gandhi, Smt. Maneka Sanjay"
"Gandhi, Smt. Sonia"
"Gangapuram, Shri  Kishan Reddy"
"Gao, Shri Tapir"
"Gavit, Dr. Heena Vijaykumar"
"General (Retd.), Dr. Vijay Kumar Singh  "
"Gnanathiraviam, Shri S."
"Gogoi, Shri Gaurav"
"Gopal Jee Thakur, Shri "
"Gowda, Shri Devaragunda Venkappa Sadananda"
"Gupta, Shri Sudheer"
"Gurumoorthy, Shri Maddila"
"Hansdak, Shri Vijay Kumar"
"Harsh Vardhan , Dr. "
"Hegde, Shri Anantkumar "
"Hembram, Shri  Kunar"
"Jadhav, Shri Prataprao "
"Jadhav, Dr. Umesh G."
"Jai Prakash, Shri "
"Jardosh, Smt. Darshana Vikram"
"Jaunapuria, Shri Sukhbir Singh"
"Jayakumar, Dr. K."
"Jolle, Shri Annasaheb Shankar"
"Joshi, Shri Chandra Prakash"
"Jothi Mani, Ms. S."
"K. Navas, Shri  Kani"
"Kaiser, Choudhary Mehboob Ali"
"Kamait, Shri Dileshwar"
"Kapoor, Shri Kishan"
"Karandlaje, Km. Shobha"
"Kashyap, Shri Dharmendra Kumar"
"Kaswan, Shri Rahul"
"Kataria, Shri Rattan Lal"
"Katheria, Prof. (Dr.) Ram Shankar"
"Kaur, Smt. Preneet"
"Kesineni, Shri Srinivas"
"Khaleque,  Shri Abdul"
"Khuba, Shri Bhagwanth"
"Kishore, Shri Kaushal"
"Koli, Smt. Ranjeeta"
"Kotak, Shri Manoj Kishorbhai"
"Kumar, Shri Dhanush M"
"Kumar, Shri Narendra"
"Kumar, Shri Sunil "
"Kumar, Dr. Virendra "
"Kundariya, Shri Mohanbhai Kalyanji"
"Kuriakose, Adv. Dean"
"Lal, Shri  Akshaibar"
"Lalrosanga, Shri C."
"Lavu, Shri Sri Krishna Devarayalu"
"Lodhi, Shri Ghanshyam Singh"
"Lone, Shri Mohammad Akbar"
"Madhav, Shri Kuruva Gorantla"
"Mahajan, Smt. Poonam  Pramod"
"Mahaswamiji, Dr. Jaisiddeshwar Shivacharya"
"Mahato, Shri  Jyotirmay Singh"
"Majhi, Shri Ramesh Chandra"
"Mal, Shri  Asit Kumar"
"Mallick, Dr.  Rajashree"
"Mandal, Shri Ajay Kumar"
"Mandal, Shri Ramprit"
"Mandlik, Prof. Sanjay Sadashivrao"
"Mann, Sardar Simranjit Singh"
"Maran, Thiru Dayanidhi"
"Masoodi, Shri Hasnain"
"Meena, Shri Arjunlal"
"Meghwal, Shri Arjun Ram "
"Mishra, Shri Janardan"
"Misra, Shri Pinaki"
"Mohammed, Shri Faizal P.P."
"Mohanty, Shri Anubhav"
"Mondal, Smt. Pratima"
"Munda, Shri Arjun "
